cuadro_origen,pagina_pdf,fila_orden,fila_id,literal_original,rotulo_canonico,codigo_canonico,tipo_entidad,estructura,fila_padre_id,nivel_jerarquia,indentada,decision,confianza,evidencia,observaciones
4.1.1,109,11,f011,Sentencia Contra la Violencia hacia las Mujeres,Juzgado de Sentencia Contra la Violencia hacia las Mujeres,juzgado_sentencia_violencia_mujeres,juzgado,detalle,f006,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,12,f012,Sentencia Anticorrupcion y Contra la Violencia hacia las mujeres,Juzgado de Sentencia Anticorrupción y Contra la Violencia hacia las Mujeres,juzgado_sentencia_anticorrupcion_violencia_mujeres,juzgado,detalle,f006,2,no_observable,confirmado_variacion_editorial,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",Se repone la tilde omitida en «Anticorrupcion»; el literal se preserva.
4.1.1,109,13,f013,Sentencia Penal y Anticorrupción,Juzgado de Sentencia Penal y Anticorrupción,juzgado_sentencia_penal_anticorrupcion,juzgado,detalle,f006,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,14,f014,Sentencia Penal y Perdida de Dominio,Juzgado de Sentencia Penal y Pérdida de Dominio,juzgado_sentencia_penal_perdida_dominio,juzgado,detalle,f006,2,no_observable,confirmado_variacion_editorial,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",Se repone la tilde omitida en «Perdida»; el literal se preserva.
4.1.1,109,15,f015,Sentencia Penal y Contra la Violencia hacia las mujeres,Juzgado de Sentencia Penal y Contra la Violencia hacia las Mujeres,juzgado_sentencia_penal_violencia_mujeres,juzgado,detalle,f006,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,16,f016,Tribunal de Sentencia,Tribunal de Sentencia,tribunal_sentencia,tribunal,detalle,f006,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.","Nota 4: los dos tribunales de Cobija tienen ampliación de competencias; no representan tribunales adicionales."
4.1.1,109,17,f017,Tribunal de Sentencia Anticorrupcion y Contra la Violencia hacia las mujeres,Tribunal de Sentencia Anticorrupción y Contra la Violencia hacia las Mujeres,tribunal_sentencia_anticorrupcion_violencia_mujeres,tribunal,detalle,f006,2,no_observable,confirmado_variacion_editorial,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",Se repone la tilde omitida en «Anticorrupcion»; el literal se preserva.
4.1.1,109,18,f018,Tribunal de Sentencia Anticorrupcion,Tribunal de Sentencia Anticorrupción,tribunal_sentencia_anticorrupcion,tribunal,detalle,f006,2,no_observable,confirmado_variacion_editorial,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",Se repone la tilde omitida en «Anticorrupcion»; el literal se preserva.
4.1.1,109,19,f019,Ejecución Penal,Juzgado de Ejecución Penal,juzgado_ejecucion_penal,juzgado,detalle,f006,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,20,f020,Agroambientales,Juzgado Agroambiental,juzgado_agroambiental,juzgado,detalle,f006,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,21,f021,JUZGADOS PUBLICOS,Juzgados Públicos,juzgados_publicos,juzgado,subtotal,f037,1,no,confirmado_variacion_editorial,alta,"Cuadro 4.1.1, p. 109. Rótulo en negrita; posición de cabecera y suma exacta de sus hijos en las diez ciudades y TOTAL.",Contiene f022–f024. Se repone la tilde omitida en «PUBLICOS»; no sumar con sus hijos.
4.1.1,109,22,f022,Civil y Comercial,Juzgado Público Civil y Comercial,juzgado_publico_civil_comercial,juzgado,detalle,f021,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,23,f023,Familia,Juzgado Público de Familia,juzgado_publico_familia,juzgado,detalle,f021,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,24,f024,Niñez y Adolescencia,Juzgado Público de la Niñez y Adolescencia,juzgado_publico_ninez_adolescencia,juzgado,detalle,f021,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,25,f025,JUZGADOS MIXTOS,Juzgados Mixtos,juzgados_mixtos,juzgado,subtotal,f037,1,no,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo en negrita; posición de cabecera y suma exacta de sus hijos en las diez ciudades y TOTAL.",Contiene f026–f028. No sumar el subtotal con sus hijos.
4.1.1,109,26,f026,Instrucción Penal y Contra la Violencia hacia las Mujeres (EPI NORTE- EPI SUR),Juzgado Mixto de Instrucción Penal y Contra la Violencia hacia las Mujeres (EPI Norte-EPI Sur),juzgado_mixto_instruccion_penal_violencia_mujeres_epi_norte_sur,juzgado,detalle,f025,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",Se conserva la sigla EPI; no se expande.
4.1.1,109,27,f027,"Público Civil y Comercial, de Familia e Instrucción Penal (EPI SUR Y SUD ESTE, Plan 3000)","Juzgado Mixto Público Civil y Comercial, de Familia e Instrucción Penal (EPI Sur y Sud Este, Plan 3000)",juzgado_mixto_publico_civil_comercial_familia_instruccion_penal_epi_sur_sud_este_plan_3000,juzgado,detalle,f025,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.","El PDF confirma el literal completo, truncado en el dato procesado después de «Plan»."
4.1.1,109,28,f028,"Público Civil y Comercial, de Familia, Niñez y Adolscencia e Instrucción Penal (C. Integrado) y EPI Norte","Juzgado Mixto Público Civil y Comercial, de Familia, Niñez y Adolescencia e Instrucción Penal (C. Integrado) y EPI Norte",juzgado_mixto_publico_civil_comercial_familia_ninez_adolescencia_instruccion_penal_c_integrado_epi_norte,juzgado,detalle,f025,2,no_observable,confirmado_variacion_editorial,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.","Se corrige la errata «Adolscencia» solo en el canónico; el PDF confirma el literal completo, truncado en el dato procesado."
4.1.1,109,29,f029,SALAS,Salas,salas,sala,subtotal,f037,1,no,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo en negrita; posición de cabecera y suma exacta de sus hijos en las diez ciudades y TOTAL.",Contiene f030–f034. No sumar el subtotal con sus hijos.
4.1.1,109,30,f030,Civil,Sala Civil,sala_civil,sala,detalle,f029,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.","Nota 2: dos salas civiles de Tarija también tienen competencia en Familia, Niñez y Adolescencia; no representan salas adicionales."
4.1.1,109,31,f031,Penal,Sala Penal,sala_penal,sala,detalle,f029,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,32,f032,Social Administrativa,Sala Social Administrativa,sala_social_administrativa,sala,detalle,f029,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,33,f033,"Familia, Niñez y Adolescencia","Sala de Familia, Niñez y Adolescencia",sala_familia_ninez_adolescencia,sala,detalle,f029,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,34,f034,Constitucionales,Sala Constitucional,sala_constitucional,sala,detalle,f029,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,35,f035,JUZGADOS DISCIPLINARIOS,Juzgados Disciplinarios,juzgados_disciplinarios,juzgado,detalle,f037,1,no,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo independiente en negrita, sin desglose; aporta directamente a TOTAL GENERAL en las once columnas.",Categoría independiente en negrita y sin desglose; no es subtotal.
4.1.1,109,36,f036,CONCILIADORES,Conciliadores,conciliadores,conciliador,detalle,f037,1,no,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo independiente en negrita, sin desglose; aporta directamente a TOTAL GENERAL en las once columnas.","Recurso humano independiente, sin desglose; el Anuario lo incluye en TOTAL GENERAL."
4.1.1,109,37,f037,TOTAL GENERAL,Total general,total_general,otro,total_general,,0,no,confirmado,alta,"Cuadro 4.1.1, p. 109. Fila final destacada; suma exacta de los cinco subtotales, Juzgados Disciplinarios y Conciliadores en las once columnas.","Raíz numérica: contiene f001, f006, f021, f025, f029, f035 y f036."
