cuadro_origen,pagina_pdf,ambito,estructura_observada,contexto_accion_penal,regla_propuesta,decision,confianza,evidencia_pdf,observaciones
5.3.1.2,351,capital,Una fila de dato por tipo de acción penal y entidad.,anticorrupcion,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 351: bloque/rótulo fuente ""ANTICORRUPCIÓN"" (contexto canónico: Anticorrupción).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.2,351,capital,Una fila de dato por tipo de acción penal y entidad.,violencia_mujeres,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 351: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.2,352,capital,Una fila de dato por tipo de acción penal y entidad.,penal_comun,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 352: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.2,352,capital,Una fila de dato por tipo de acción penal y entidad.,anticorrupcion,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 352: bloque/rótulo fuente ""ANTICORRUPCIÓN"" (contexto canónico: Anticorrupción).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.2,352,capital,Una fila de dato por tipo de acción penal y entidad.,violencia_mujeres,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 352: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.2,353,capital,Una fila de dato por tipo de acción penal y entidad.,penal_comun,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 353: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.2,353,capital,Una fila de dato por tipo de acción penal y entidad.,anticorrupcion,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 353: bloque/rótulo fuente ""ANTICORRUPCIÓN"" (contexto canónico: Anticorrupción).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.2,353,capital,Una fila de dato por tipo de acción penal y entidad.,violencia_mujeres,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 353: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",El contexto coincide con la categoría publicada en la propia fila.
5.3.2.1,362,capital,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",penal_comun,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 362: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",La secuencia está completa; los saltos de página ocurren entre entidades.
5.3.2.1,362,capital,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",anticorrupcion,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 362: bloque/rótulo fuente ""ANTICORRUPCIÒN"" (contexto canónico: Anticorrupción).",La secuencia está completa; los saltos de página ocurren entre entidades.
5.3.2.1,362,capital,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",violencia_mujeres,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 362: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LA MUJER"" (contexto canónico: Contra la violencia hacia las mujeres).",La secuencia está completa; los saltos de página ocurren entre entidades.
5.3.2.1,363,capital,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",penal_comun,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 363: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",La secuencia está completa; los saltos de página ocurren entre entidades.
5.3.2.1,363,capital,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",anticorrupcion,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 363: bloque/rótulo fuente ""ANTICORRUPCIÒN"" (contexto canónico: Anticorrupción).",La secuencia está completa; los saltos de página ocurren entre entidades.
5.3.2.1,363,capital,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",violencia_mujeres,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 363: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LA MUJER"" (contexto canónico: Contra la violencia hacia las mujeres).",La secuencia está completa; los saltos de página ocurren entre entidades.
5.3.2.1,364,capital,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",penal_comun,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 364: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",La secuencia está completa; los saltos de página ocurren entre entidades.
5.3.2.1,364,capital,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",anticorrupcion,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 364: bloque/rótulo fuente ""ANTICORRUPCIÒN"" (contexto canónico: Anticorrupción).",La secuencia está completa; los saltos de página ocurren entre entidades.
5.3.2.1,364,capital,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",violencia_mujeres,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 364: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LA MUJER"" (contexto canónico: Contra la violencia hacia las mujeres).",La secuencia está completa; los saltos de página ocurren entre entidades.
6.3.1.1,607,provincia,Una fila de dato por tipo de acción penal y entidad.,penal_comun,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 607: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.1,607,provincia,Una fila de dato por tipo de acción penal y entidad.,anticorrupcion,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 607: bloque/rótulo fuente ""ANTICORRUPCIÓN"" (contexto canónico: Anticorrupción).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.1,607,provincia,Una fila de dato por tipo de acción penal y entidad.,violencia_mujeres,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 607: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.1,608,provincia,Una fila de dato por tipo de acción penal y entidad.,penal_comun,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 608: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.1,608,provincia,Una fila de dato por tipo de acción penal y entidad.,anticorrupcion,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 608: bloque/rótulo fuente ""ANTICORRUPCIÓN"" (contexto canónico: Anticorrupción).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.1,608,provincia,Una fila de dato por tipo de acción penal y entidad.,violencia_mujeres,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 608: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.1,609,provincia,Una fila de dato por tipo de acción penal y entidad.,penal_comun,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 609: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.1,609,provincia,Una fila de dato por tipo de acción penal y entidad.,anticorrupcion,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 609: bloque/rótulo fuente ""ANTICORRUPCIÓN"" (contexto canónico: Anticorrupción).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.1,609,provincia,Una fila de dato por tipo de acción penal y entidad.,violencia_mujeres,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 609: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.2,610,provincia,Una fila de dato por tipo de acción penal y entidad.,penal_comun,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 610: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.2,610,provincia,Una fila de dato por tipo de acción penal y entidad.,anticorrupcion,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 610: bloque/rótulo fuente ""ANTICORRUPCIÓN"" (contexto canónico: Anticorrupción).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.2,610,provincia,Una fila de dato por tipo de acción penal y entidad.,violencia_mujeres,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 610: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.2,611,provincia,Una fila de dato por tipo de acción penal y entidad.,penal_comun,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 611: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.2,611,provincia,Una fila de dato por tipo de acción penal y entidad.,anticorrupcion,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 611: bloque/rótulo fuente ""ANTICORRUPCIÓN"" (contexto canónico: Anticorrupción).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.2,611,provincia,Una fila de dato por tipo de acción penal y entidad.,violencia_mujeres,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 611: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.2,612,provincia,Una fila de dato por tipo de acción penal y entidad.,penal_comun,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 612: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.2,612,provincia,Una fila de dato por tipo de acción penal y entidad.,anticorrupcion,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 612: bloque/rótulo fuente ""ANTICORRUPCIÓN"" (contexto canónico: Anticorrupción).",El contexto coincide con la categoría publicada en la propia fila.
6.3.1.2,612,provincia,Una fila de dato por tipo de acción penal y entidad.,violencia_mujeres,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 612: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",El contexto coincide con la categoría publicada en la propia fila.
6.3.2.1,625,provincia,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",penal_comun,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 625: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",La secuencia está completa; los saltos de página ocurren entre entidades.
6.3.2.1,625,provincia,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",anticorrupcion,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 625: bloque/rótulo fuente ""ANTICORRUPCIÒN"" (contexto canónico: Anticorrupción).",La secuencia está completa; los saltos de página ocurren entre entidades.
6.3.2.1,625,provincia,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",violencia_mujeres,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 625: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",La secuencia está completa; los saltos de página ocurren entre entidades.
6.3.2.1,626,provincia,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",penal_comun,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 626: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",La secuencia está completa; los saltos de página ocurren entre entidades.
6.3.2.1,626,provincia,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",anticorrupcion,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 626: bloque/rótulo fuente ""ANTICORRUPCIÒN"" (contexto canónico: Anticorrupción).",La secuencia está completa; los saltos de página ocurren entre entidades.
6.3.2.1,626,provincia,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",violencia_mujeres,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 626: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",La secuencia está completa; los saltos de página ocurren entre entidades.
6.3.2.1,627,provincia,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",penal_comun,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 627: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",La secuencia está completa; los saltos de página ocurren entre entidades.
6.3.2.1,627,provincia,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",anticorrupcion,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 627: bloque/rótulo fuente ""ANTICORRUPCIÒN"" (contexto canónico: Anticorrupción).",La secuencia está completa; los saltos de página ocurren entre entidades.
6.3.2.1,627,provincia,"Celda padre en la primera columna abarca tres filas: acción pública, pública a instancia de parte y privada.",violencia_mujeres,Asignar por la celda padre explícita del bloque; validar tres bloques en orden y tres filas por bloque. No usar una regla global de módulo.,confirmado,alta,"PDF oficial, p. 627: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",La secuencia está completa; los saltos de página ocurren entre entidades.
